fecha,entidad,hospitalizados,camas_intubados
2020-06-13,Ciudad de México,4374,1033
2020-06-13,Estado de México,1808,350
2020-06-16,Ciudad de México,4360,1011
2020-06-16,Estado de México,1704,334
2020-06-18,Ciudad de México,4213,969
2020-06-18,Estado de México,1677,315
2020-06-21,Ciudad de México,4096,991
2020-06-21,Estado de México,1640,317
2020-06-23,Ciudad de México,4008,936
2020-06-23,Estado de México,1592,308
2020-06-24,Ciudad de México,3910,913
2020-06-24,Estado de México,1570,301
2020-06-25,Ciudad de México,3908,935
2020-06-25,Estado de México,1580,292
2020-06-27,Ciudad de México,3806,941
2020-06-27,Estado de México,1527,313
2020-07-01,Ciudad de México,3750,920
2020-07-01,Estado de México,1463,299
2020-07-06,Ciudad de México,3623,892
2020-07-06,Estado de México,1404,320
2020-07-07,Ciudad de México,3609,885
2020-07-07,Estado de México,1373,311
2020-07-13,Ciudad de México,3380,833
2020-07-13,Estado de México,1340,318
2020-07-14,Ciudad de México,3448,818
2020-07-14,Estado de México,1352,308
2020-07-16,Ciudad de México,3377,816
2020-07-16,Estado de México,1317,288
2020-07-18,Ciudad de México,3289,800
2020-07-18,Estado de México,1247,290
2020-07-19,Ciudad de México,3342,806
2020-07-19,Estado de México,1248,300
2020-07-20,Ciudad de México,3379,803
2020-07-20,Estado de México,1230,294
2020-07-27,Ciudad de México,3439,814
2020-07-27,Estado de México,1208,282
2020-07-28,Ciudad de México,3459,831
2020-07-28,Estado de México,1224,280
2020-07-29,Ciudad de México,3483,837
2020-07-29,Estado de México,1217,287
2020-08-03,Ciudad de México,3211,833
2020-08-03,Estado de México,1171,272
2020-08-04,Ciudad de México,3247,822
2020-08-04,Estado de México,1162,262
2020-08-12,Ciudad de México,2852,707
2020-08-12,Estado de México,1127,258
2020-08-14,Ciudad de México,2823,695
2020-08-14,Estado de México,1139,258
2020-08-16,Ciudad de México,2814,688
2020-08-16,Estado de México,1113,257
2020-08-17,Ciudad de México,2811,689
2020-08-17,Estado de México,1102,258
2020-08-22,Ciudad de México,2731,699
2020-08-22,Estado de México,1006,231
2020-08-24,Ciudad de México,2795,717
2020-08-24,Estado de México,1014,215
2020-08-26,Ciudad de México,2878,705
2020-08-26,Estado de México,1002,201
